Process Hacker 3.0.4365
Windows NT 10.0 (64-bit)
上午 1:42:03 2021/10/16 周六

"Name","PID","CPU","I/O total rate","Private bytes","Working set","Description","Company name","User name","File name","Command line","Package name"
"System Idle Process","","76.43","","60 kB","8 kB","","","NT AUTHORITY\SYSTEM","","",""
"  System","4","0.42","","220 kB","9.69 MB","NT Kernel & System","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\WINDOWS\system32\ntoskrnl.exe","",""
"    Secure System","72","","","184 kB","38.37 MB","","","NT AUTHORITY\SYSTEM","","",""
"    Registry","132","","","29.57 MB","167.78 MB","","","NT AUTHORITY\SYSTEM","Registry","",""
"    smss.exe","496","","","1.05 MB","1.06 MB","Windows Session Manager","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\smss.exe","\SystemRoot\System32\smss.exe",""
"    Memory Compression","2892","","","4.12 MB","1.88 GB","","","NT AUTHORITY\SYSTEM","MemCompression","",""
"  Interrupts","","0.61","","0","0","Interrupts and DPCs","","","","",""
"csrss.exe","728","","","1.98 MB","4.21 MB","Client Server Runtime Process","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",""
"wininit.exe","824","","","1.49 MB","4.63 MB","Windows Start-Up Application","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\wininit.exe","wininit.exe",""
"  services.exe","896","0.15","","6.93 MB","9.18 MB","Services and Controller app","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\services.exe","C:\WINDOWS\system32\services.exe",""
"    svchost.exe","656","","","15.81 MB","31.61 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p",""
"      WmiPrvSE.exe","2936","","","3.62 MB","9.34 MB","WMI Provider Host","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\WINDOWS\system32\wbem\wmiprvse.exe -Embedding",""
"      WmiPrvSE.exe","4496","1.37","","14.94 MB","21.52 MB","WMI Provider Host","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\wbem\WmiPrvSE.exe","C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding",""
"      dllhost.exe","8484","","","3.41 MB","10.71 MB","COM Surrogate","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\dllhost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}",""
"      ChsIME.exe","9908","","","1.55 MB","7.26 MB","Microsoft IME","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","C:\Windows\System32\InputMethod\CHS\ChsIME.exe -Embedding",""
